plastic_type,microorganism,degradation_rate,days,temperature,pH
Polycarbonate,Acidithiobacillus ferrooxidans,15,278,14,9
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,80,82,29,5
Polyurethane,Streptomyces coelicolor,86,129,25,5
Polycarbonate,Alcanivorax borkumensis,13,286,37,7
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,60,353,31,8
Polyethylene,Ochrobactrum sp.,70,280,31,8
Polyurethane,Pseudomonas aeruginosa,45,270,25,8
Polyurethane,Citrobacter koseri,31,292,25,6
Polycarbonate,Exiguobacterium sp.,14,203,23,5
Polystyrene,Thermobifida fusca,43,24,15,6
Polyvinyl Chloride,Citrobacter koseri,16,351,11,5
Polycarbonate,Fusarium solani,40,311,40,7
Polyvinyl Chloride,Ideonella sakaiensis,53,208,23,7
Polyvinyl Chloride,Exiguobacterium sp.,43,280,25,6
Polyethylene,Acidithiobacillus ferrooxidans,97,205,32,6
Polyurethane,Fusarium solani,4,152,39,7
Polyethylene Terephthalate (PET),Ideonella sakaiensis,26,26,29,9
Polyethylene,Halomonas titanicae,86,194,22,8
Polyethylene,Pseudomonas aeruginosa,77,336,24,8
Polyvinyl Chloride,Bacillus subtilis,78,238,21,7
Polypropylene,Halomonas titanicae,42,321,18,8
Polyurethane,Bacillus alcalophilus,96,75,35,9
Polystyrene,Citrobacter koseri,30,163,27,9
Polyethylene,Bacillus subtilis,98,299,30,5
Polyethylene Terephthalate (PET),Fusarium solani,16,29,23,6
Polypropylene,Sulfolobus acidocaldarius,91,165,29,8
Polypropylene,Halomonas titanicae,82,337,34,9
Polystyrene,Bacillus alcalophilus,53,186,13,6
Polyethylene,Aspergillus niger,61,54,17,6
Polyethylene Terephthalate (PET),Bacillus subtilis,86,295,17,5
Polyurethane,Alcanivorax borkumensis,31,42,31,6
Nylon,Exiguobacterium sp.,39,285,31,6
Polyethylene Terephthalate (PET),Thermobifida fusca,12,138,25,7
Polystyrene,Thermobifida fusca,83,187,36,5
Polypropylene,Bacillus alcalophilus,34,204,33,5
Polyurethane,Pseudomonas aeruginosa,4,42,37,8
Polyethylene Terephthalate (PET),Bacillus subtilis,72,350,38,6
